,id,city,district,year,month,hour,weekday,injury_level,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude
206,49953,Berlin,10,2019,3,7,4,3,0,2,0,1,0,0,0,0,1,0,"13,61335","52,50477"
207,49959,Berlin,2,2019,1,17,3,3,6,4,1,1,0,1,0,0,0,1,"13,38817","52,49383"
208,49964,Berlin,9,2019,2,11,2,3,6,4,0,0,1,1,0,0,0,1,"13,46704","52,48536"
209,49967,Berlin,7,2019,3,20,5,2,3,6,2,0,1,0,0,0,1,0,"13,40675","52,46186"
210,49974,Berlin,4,2019,1,15,4,3,2,6,0,0,1,0,0,1,0,0,"13,33475","52,47819"
211,49980,Berlin,7,2019,2,14,1,3,5,2,0,1,1,0,0,0,0,0,"13,35213","52,4801"
212,49981,Berlin,1,2019,1,17,2,3,2,6,2,0,1,0,0,0,0,0,"13,37229","52,50501"
213,49985,Berlin,7,2019,1,17,2,3,2,6,1,0,1,0,0,0,0,0,"13,40022","52,41593"
214,49991,Berlin,3,2019,2,8,6,2,5,2,0,1,0,0,0,0,0,0,"13,43074","52,53439"
215,49996,Berlin,1,2019,1,17,2,3,2,7,2,1,1,0,0,0,1,1,"13,41081","52,52303"
216,50002,Berlin,4,2019,2,18,4,3,5,2,2,1,1,0,0,0,0,0,"13,31493","52,51223"
217,50004,Berlin,5,2019,3,12,4,2,2,6,0,0,1,0,0,1,0,0,"13,17945","52,51658"
218,50008,Berlin,4,2019,1,9,2,3,2,6,0,0,1,0,0,0,0,1,"13,28405","52,49616"
219,50012,Berlin,7,2019,1,17,3,3,2,6,1,0,1,0,0,0,0,0,"13,34104","52,47864"
220,50018,Berlin,1,2019,2,22,5,3,5,3,2,1,1,0,0,0,0,1,"13,41232","52,51941"
221,50019,Berlin,7,2019,1,16,1,3,8,1,2,0,1,0,0,0,0,1,"13,37334","52,47054"
222,50023,Berlin,3,2019,1,23,7,3,2,6,2,0,1,0,0,0,0,0,"13,44492","52,54575"
223,50025,Berlin,1,2019,1,5,1,3,5,3,2,0,1,0,0,0,0,1,"13,3655","52,55797"
224,50026,Berlin,4,2019,1,8,1,2,9,1,0,0,1,0,0,0,0,1,"13,28925","52,49416"
225,50030,Berlin,4,2019,1,10,4,2,3,6,0,0,1,0,0,1,1,1,"13,28269","52,52857"
226,50037,Berlin,7,2019,2,13,7,3,0,1,0,0,0,0,1,0,0,0,"13,36208","52,47403"
227,50038,Berlin,4,2019,1,19,7,3,5,2,2,1,1,0,0,0,0,1,"13,25827","52,50852"
228,50042,Berlin,12,2019,1,13,1,3,2,4,0,0,1,1,0,0,0,0,"13,36504","52,56041"
229,50044,Berlin,3,2019,1,19,7,3,6,2,2,0,1,1,0,0,0,1,"13,4239","52,53934"
230,50046,Berlin,2,2019,1,16,5,3,5,2,1,1,1,0,0,0,0,0,"13,38866","52,49816"
231,50049,Berlin,7,2019,2,9,6,3,5,2,0,1,1,0,0,0,0,0,"13,38459","52,45262"
232,50054,Berlin,7,2019,1,18,7,3,2,6,2,0,1,0,0,0,0,1,"13,35891","52,48909"
233,50060,Berlin,3,2019,2,16,1,2,6,4,1,0,1,1,0,0,0,0,"13,45182","52,54858"
234,50062,Berlin,7,2019,3,10,2,3,5,2,0,0,1,0,0,1,0,0,"13,39633","52,4234"
235,50069,Berlin,12,2019,1,17,2,3,2,6,2,0,1,0,0,0,0,1,"13,31465","52,61884"
236,50075,Berlin,4,2019,2,16,4,3,2,6,0,0,1,0,0,0,0,0,"13,28587","52,51059"
237,50081,Berlin,3,2019,1,17,5,3,4,6,1,1,0,0,0,0,0,0,"13,44631","52,52747"
238,50084,Berlin,10,2019,2,7,5,3,5,3,1,1,1,0,0,0,0,0,"13,60651","52,50495"
239,50093,Berlin,2,2019,1,8,4,3,5,3,1,0,1,0,0,0,0,1,"13,47355","52,5139"
240,50096,Berlin,4,2019,2,12,6,2,5,3,0,0,1,0,0,1,0,0,"13,28162","52,50991"
241,50106,Berlin,12,2019,2,17,6,3,6,4,2,0,1,1,0,0,0,0,"13,31884","52,61084"
242,50108,Berlin,4,2019,3,18,7,3,2,6,2,0,1,0,0,0,1,0,"13,28215","52,49783"
243,50112,Berlin,4,2019,2,15,4,3,3,6,0,0,1,0,0,0,0,0,"13,26158","52,50871"
244,50116,Berlin,12,2019,1,2,1,3,9,1,2,0,1,0,0,0,0,1,"13,29071","52,58735"
245,50122,Berlin,12,2019,2,13,3,3,2,6,0,0,1,0,0,0,1,0,"13,29864","52,57734"
246,50127,Berlin,3,2019,1,15,7,3,5,3,1,1,1,0,0,0,0,1,"13,47642","52,56812"
